Nome;Nível;Início;Término;Instituição;Situação;Motivo do interrrompimento;LINK;ID
Luiz Moreira Coelho Junior;PQ-2;01/03/22;28/02/25;UFPB;Em folha de pagamento;;http://lattes.cnpq.br/8390081359868622;8390081359868622
Madalena Maria Schlindwein;PQ-2;01/03/23;28/02/26;UFGD;Em folha de pagamento;;http://lattes.cnpq.br/5051115183969507;5051115183969507
Manuel Ramon Souza Luz;PQ-2;01/03/22;28/02/25;UFABC;Em folha de pagamento;;http://lattes.cnpq.br/5544951927644546;5544951927644546
Marcel de Toledo Vieira;PQ-2;01/03/23;28/02/26;UFJF;Em folha de pagamento;;http://lattes.cnpq.br/1980385021266418;1980385021266418
Marcelo Brutti Righi;PQ-2;01/03/22;28/02/25;UFRGS;Em folha de pagamento;;http://lattes.cnpq.br/0441646892659099;0441646892659099
Marcelo Cunha Medeiros;PQ-1B;01/03/22;28/02/26;PUC-Rio;Suspenso;(***) Bolsa interrompida por motivo de estágio ou pós-doutoramento no exterior, ou por nomeação para cargo em comissão do grupo de Direção e Assessoramento Superior (DAS) do CNPq.;http://lattes.cnpq.br/1545155828572491;1545155828572491
Marcelo de Carvalho Griebeler;PQ-2;01/03/21;29/02/24;UFRGS;Suspenso;(***) Bolsa interrompida por motivo de estágio ou pós-doutoramento no exterior, ou por nomeação para cargo em comissão do grupo de Direção e Assessoramento Superior (DAS) do CNPq.;http://lattes.cnpq.br/7323158600328509;7323158600328509
Marcelo Fernandes;PQ-1B;01/03/23;28/02/27;FGV;Em folha de pagamento;;http://lattes.cnpq.br/0357396942336587;0357396942336587
Marcelo J Moreira;PQ-2;01/03/23;28/02/26;FGV;Em folha de pagamento;;http://lattes.cnpq.br/2339829142310760;2339829142310760
Marcelo José Braga;PQ-1B;01/03/22;28/02/26;UFV;Em folha de pagamento;;http://lattes.cnpq.br/0107443653772269;0107443653772269
Marcelo Justus dos Santos;PQ-2;01/03/22;28/02/25;UNICAMP;Em folha de pagamento;;http://lattes.cnpq.br/6356318125369024;6356318125369024
Marcelo Luiz Curado;PQ-2;01/03/21;29/02/24;UFPR;Em folha de pagamento;;http://lattes.cnpq.br/3143075206114801;3143075206114801
Marcelo Resende de Mendonça e Silva;PQ-1D;01/03/20;29/02/24;UFRJ;Em folha de pagamento;;http://lattes.cnpq.br/8557029750666723;8557029750666723
Marcelo Rodrigues dos Santos;PQ-2;01/03/23;28/02/26;INSPER;Em folha de pagamento;;http://lattes.cnpq.br/3071046681153955;3071046681153955
Marcelo Savino Portugal;PQ-1D;01/03/22;28/02/26;UFRGS;Em folha de pagamento;;http://lattes.cnpq.br/6723737598210318;6723737598210318
Márcia Siqueira Rapini;PQ-2;01/03/21;29/02/24;UFMG;Em folha de pagamento;;http://lattes.cnpq.br/7670878068781009;7670878068781009
Márcio Gomes Pinto Garcia;PQ-SR;01/03/23;29/02/28;PUC-Rio;Em folha de pagamento;;http://lattes.cnpq.br/3500104366301286;3500104366301286
Márcio Poletti Laurini;PQ-1D;01/03/22;28/02/26;USP;Em folha de pagamento;;http://lattes.cnpq.br/0470071088342547;0470071088342547
Marco Antonio Ribas Cavalieri;PQ-2;01/03/22;28/02/25;UFPR;Em folha de pagamento;;http://lattes.cnpq.br/3102594938614128;3102594938614128
Marco Flávio da Cunha Resende;PQ-2;01/03/23;28/02/26;UFMG;Em folha de pagamento;;http://lattes.cnpq.br/8834816401400593;8834816401400593
Marco Tulio Aniceto Franca;PQ-1D;01/03/23;28/02/27;PUCRS;Em folha de pagamento;;http://lattes.cnpq.br/2933541593062202;2933541593062202
Marcos Tadeu Caputi Lélis;PQ-2;01/03/22;28/02/25;UNISINOS;Em folha de pagamento;;http://lattes.cnpq.br/2560496153427299;2560496153427299
Maria Helena Lavinas de Morais;PQ-2;01/03/22;30/04/25;UFRJ;Em folha de pagamento;;http://lattes.cnpq.br/9527487721107297;9527487721107297
Marina Silva da Cunha;PQ-1D;01/03/22;28/02/26;UEM;Em folha de pagamento;;http://lattes.cnpq.br/0933287370110532;0933287370110532
Marisa dos Reis Azevedo Botelho;PQ-2;01/03/22;28/02/25;UFU;Em folha de pagamento;;http://lattes.cnpq.br/0919093679710607;0919093679710607
Marislei Nishijima;PQ-2;01/03/22;28/02/25;IRI;Em folha de pagamento;;http://lattes.cnpq.br/5620359266790501;5620359266790501
Marta dos Reis Castilho;PQ-2;01/03/22;28/02/25;UFRJ;Em folha de pagamento;;http://lattes.cnpq.br/9809152954827311;9809152954827311
Mauricio Soares Bugarin;PQ-2;01/03/23;28/02/26;UnB;Em folha de pagamento;;http://lattes.cnpq.br/4570321143416032;4570321143416032
Maurício Vaz Lobo Bittencourt;PQ-2;01/03/22;28/02/25;UFPR;Suspenso;(***) Bolsa interrompida por motivo de estágio ou pós-doutoramento no exterior, ou por nomeação para cargo em comissão do grupo de Direção e Assessoramento Superior (DAS) do CNPq.;http://lattes.cnpq.br/9188259720814972;9188259720814972
Mauro Boianovsky;PQ-1A;01/03/19;29/02/24;UnB;Em folha de pagamento;;http://lattes.cnpq.br/9530550790953653;9530550790953653
Miguel Antonio Pinho Bruno;PQ-2;01/03/23;28/02/26;IBGE;Em folha de pagamento;;http://lattes.cnpq.br/7123495249430722;7123495249430722
Mônica Viegas Andrade;PQ-1D;01/03/22;28/02/26;UFMG;Em folha de pagamento;;http://lattes.cnpq.br/2085641989038025;2085641989038025
Naercio Aquino Menezes Filho;PQ-1C;01/03/23;28/02/27;INSPER;Em folha de pagamento;;http://lattes.cnpq.br/7403858236965011;7403858236965011
Nelson Leitão Paes;PQ-1D;01/03/20;29/02/24;UFPE;Em folha de pagamento;;http://lattes.cnpq.br/4398120005151498;4398120005151498
Nelson Marconi;PQ-2;01/03/22;28/02/25;FGV;Em folha de pagamento;;http://lattes.cnpq.br/3941333920095061;3941333920095061
Norberto Montani Martins;PQ-2;01/03/23;28/02/26;UFRJ;Em folha de pagamento;;http://lattes.cnpq.br/2089597137079340;2089597137079340
Osvaldo Candido da Silva Filho;PQ-2;01/03/23;28/02/26;UCB/DF;Em folha de pagamento;;http://lattes.cnpq.br/3691103797905606;3691103797905606
Otávio Henrique dos Santos Figueiredo;PQ-2;01/03/21;29/02/24;UFRJ;Em folha de pagamento;;http://lattes.cnpq.br/6214640540135973;6214640540135973
Patrícia Verônica Pinheiro Sales Lima;PQ-1D;01/03/22;28/02/26;UFC;Em folha de pagamento;;http://lattes.cnpq.br/7172491133426747;7172491133426747
Paula Carvalho Pereda;PQ-2;01/03/23;28/02/26;USP;Em folha de pagamento;;http://lattes.cnpq.br/8764882695376328;8764882695376328
Paulo Aguiar do Monte;PQ-2;01/03/22;28/02/25;UFPB;Em folha de pagamento;;http://lattes.cnpq.br/2086894513472218;2086894513472218
Paulo de Andrade Jacinto;PQ-1D;01/03/23;28/02/27;UFPR;Em folha de pagamento;;http://lattes.cnpq.br/0867329429331814;0867329429331814
Paulo Klinger Monteiro;PQ-1D;01/03/21;28/02/25;FGV;Em folha de pagamento;;http://lattes.cnpq.br/8913418978108030;8913418978108030
Paulo Rogério Faustino Matos;PQ-1D;01/03/22;28/02/26;UFC;Em folha de pagamento;;http://lattes.cnpq.br/0288522400109962;0288522400109962
Pedro Cavalcanti Gomes Ferreira;PQ-1B;01/03/22;28/02/26;FGV;Em folha de pagamento;;http://lattes.cnpq.br/1459858386214202;1459858386214202
Pedro Cezar Dutra Fonseca;PQ-1B;01/03/22;28/02/26;UFRGS;Em folha de pagamento;;http://lattes.cnpq.br/9511067342067027;9511067342067027
Pedro Garcia Duarte;PQ-2;01/03/23;28/02/26;INSPER;Em folha de pagamento;;http://lattes.cnpq.br/7244884203223326;7244884203223326
Pedro Luiz Valls Pereira;PQ-1D;01/03/22;28/02/26;FGV;Em folha de pagamento;;http://lattes.cnpq.br/9641399460002292;9641399460002292
Pery Francisco Assis Shikida;PQ-1D;01/03/22;28/02/26;UNIOESTE;Em folha de pagamento;;http://lattes.cnpq.br/1740467499247374;1740467499247374
Philipp Ehrl;PQ-2;01/03/22;28/02/25;UCB/DF;Em folha de pagamento;;http://lattes.cnpq.br/9369923733901266;9369923733901266
Rafael Saulo Marques Ribeiro;PQ-2;01/03/21;29/02/24;UFMG;Em folha de pagamento;;http://lattes.cnpq.br/5949531548153118;5949531548153118
Raul da Mota Silveira Neto;PQ-1B;01/03/22;28/02/26;UFPE;Em folha de pagamento;;http://lattes.cnpq.br/3921888911294306;3921888911294306
Raul Yukihiro Matsushita;PQ-2;01/03/23;28/02/26;UnB;Em folha de pagamento;;http://lattes.cnpq.br/2722420136334883;2722420136334883
Raydonal Ospina Martínez;PQ-2;01/03/23;28/02/26;UFPE;Em folha de pagamento;;http://lattes.cnpq.br/6357960802605841;6357960802605841
Regis Augusto Ely;PQ-2;01/03/22;28/02/25;UFPEL;Em folha de pagamento;;http://lattes.cnpq.br/3708985718656687;3708985718656687
Renato de Castro Garcia;PQ-2;01/03/22;28/02/25;UNICAMP;Em folha de pagamento;;http://lattes.cnpq.br/4448499039119632;4448499039119632
Ricardo Carvalho de Andrade Lima;PQ-2;01/03/23;28/02/26;UCB/DF;Em folha de pagamento;;http://lattes.cnpq.br/6689800200326503;6689800200326503
Ricardo da Silva Freguglia;PQ-2;01/03/23;28/02/26;UFJF;Em folha de pagamento;;http://lattes.cnpq.br/1290479848909932;1290479848909932
Ricardo de Figueiredo Summa;PQ-2;01/03/21;29/02/24;UFRJ;Em folha de pagamento;;http://lattes.cnpq.br/7120501499488345;7120501499488345
Ricardo de Oliveira Cavalcanti;PQ-2;01/03/21;29/02/24;FGV;Em folha de pagamento;;http://lattes.cnpq.br/5201221681967808;5201221681967808
Ricardo Dias de Oliveira Brito;PQ-2;01/03/21;29/02/24;USP;Em folha de pagamento;;http://lattes.cnpq.br/9666627814660706;9666627814660706
Ricardo Ramalhete Moreira;PQ-2;01/03/22;28/02/25;UFES;Em folha de pagamento;;http://lattes.cnpq.br/3263921271806291;3263921271806291
Ricardo Silva Azevedo Araujo;PQ-2;01/03/23;28/02/26;UnB;Em folha de pagamento;;http://lattes.cnpq.br/6082451592666314;6082451592666314
Roberta de Moraes Rocha;PQ-2;01/03/21;29/02/24;UFPE;Em folha de pagamento;;http://lattes.cnpq.br/1129247214452992;1129247214452992
Roberto Meurer;PQ-2;01/03/23;28/02/26;UFSC;Em folha de pagamento;;http://lattes.cnpq.br/6521773148676528;6521773148676528
Roberto Tatiwa Ferreira;PQ-2;01/03/23;28/02/26;UFC;Em folha de pagamento;;http://lattes.cnpq.br/9723758439733361;9723758439733361
Rodolfo Ferreira Ribeiro da Costa;PQ-2;01/03/22;28/02/25;UERN;Em folha de pagamento;;http://lattes.cnpq.br/6960670271720836;6960670271720836
Rodrigo Lanna Franco da Silveira;PQ-2;01/03/22;28/02/25;UNICAMP;Em folha de pagamento;;http://lattes.cnpq.br/7916021882928474;7916021882928474
Rodrigo Nobre Fernandez;PQ-2;01/03/22;28/02/25;UFPEL;Em folha de pagamento;;http://lattes.cnpq.br/7835812928614071;7835812928614071
Rodrigo Reis Soares;PQ-1D;01/03/21;28/02/25;INSPER;Em folha de pagamento;;http://lattes.cnpq.br/1878538271049058;1878538271049058
Rosa Livia Gonçalves Montenegro;PQ-2;01/03/23;28/02/26;UFJF;Em folha de pagamento;;http://lattes.cnpq.br/8006172334113593;8006172334113593
Rosangela Ballini;PQ-2;01/03/23;28/02/26;UNICAMP;Em folha de pagamento;;http://lattes.cnpq.br/1766558858445284;1766558858445284
Rudi Rocha de Castro;PQ-1D;01/03/22;28/02/26;FGV;Em folha de pagamento;;http://lattes.cnpq.br/6911466624133651;6911466624133651
Sandro Eduardo Monsueto;PQ-2;01/03/21;29/02/24;UFG;Em folha de pagamento;;http://lattes.cnpq.br/5484881117429853;5484881117429853
