issn,revista,qualis
1983442X,ACUSTICA E VIBRACOES,B4
16101928,ACUSTICA UNITED WITH ACTA ACUSTICA,A3
15708705,AD HOC NETWORKS,A2
07365829,ADAPTED PHYSICAL ACTIVITY QUARTERLY,A2
01048503,ADB,C
09652140,ADDICTION,A1
13556215,ADDICTION BIOLOGY,A1
13691600,ADDICTION BIOLOGY,A1
16066359,ADDICTION RESEARCH THEORY,A2
03064603,ADDICTIVE BEHAVIORS,A1
23528532,ADDICTIVE BEHAVIORS REPORTS,B1
18666116,ADHD ATTENTION DEFICIT AND HYPERACTIVITY DISORDERS,A4
15189929,ADM MADE,A4
23167548,ADMINISTRACAO DE EMPRESAS EM REVISTA,B4
21776083,ADMINISTRACAO ENSINO E PESQUISA,A3
23580917,ADMINISTRACAO ENSINO E PESQUISA,A3
21755787,ADMINISTRACAO PUBLICA E GESTAO SOCIAL,A4
21775281,ADOLESCENCIA SAUDE,B4
16799941,ADOLESCENCIA SAUDE,B4
09295607,ADSORPTION,A2
15728757,ADSORPTION,A2
02636174,ADSORPTION SCIENCE TECHNOLOGY,B1
03427633,ADULT EDUCATION AND DEVELOPMENT,B4
20424868,ADVANCE JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,C
21190275,ADVANCED ELECTROMAGNETICS,B1
14381656,ADVANCED ENGINEERING MATERIALS,A1
1616301X,ADVANCED FUNCTIONAL MATERIALS,A1
21922659,ADVANCED HEALTHCARE MATERIALS,A1
15214095,ADVANCED MATERIALS,A1
09359648,ADVANCED MATERIALS,A1
21967350,ADVANCED MATERIALS INTERFACES,A2
10226680,ADVANCED MATERIALS RESEARCH,NP
16628985,ADVANCED MATERIALS RESEARCH,NP
18414311,ADVANCED MODELLING AND OPTIMIZATION,A4
22517308,ADVANCED PHARMACEUTICAL BULLETIN,A3
09218831,ADVANCED POWDER TECHNOLOGY,A2
01691864,ADVANCED ROBOTICS,A4
21646627,ADVANCED SCIENCE ENGINEERING AND MEDICINE,B2
16154150,ADVANCED SYNTHESIS CATALYSIS,A1
23791764,ADVANCED TECHNIQUES IN BIOLOGY MEDICINE,C
23542152,ADVANCEMENT IN MEDICINAL PLANT RESEARCH,C
00652113,ADVANCES IN AGRONOMY,A1
20404700,ADVANCES IN ANIMAL BIOSCIENCES,B4
21639353,ADVANCES IN ANTHROPOLOGY,A3
17436753,ADVANCES IN APPLIED CERAMICS,A4
01887009,ADVANCES IN APPLIED CLIFFORD ALGEBRAS,B3
20700733,ADVANCES IN APPLIED MATHEMATICS AND MECHANICS,B1
21654336,ADVANCES IN APPLIED SOCIOLOGY,B3
21622191,ADVANCES IN BIOLOGICAL CHEMISTRY,A3
21622183,ADVANCES IN BIOLOGICAL CHEMISTRY,A3
21568502,ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY,B1
21568456,ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY,B1
09517197,ADVANCES IN CEMENT RESEARCH,A4
17517605,ADVANCES IN CEMENT RESEARCH,A4
